Index,Year,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,AFB,FBL,GLF,GAR,GRY,GTR,HBLI,HBLF,JDP,JUD,KTE,LAX,LAX.1,MPN,POL,RQT,RQQ,ROC,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SQU,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,PBT,WLF,WRF,WRG,Australia1,Australia2,Australia3,Australia4,China1,China2,China3,China4,France1,France2,France3,France4,Germany1,Germany2,Germany3,Germany4,GreatBritain1,GreatBritain2,GreatBritain3,GreatBritain4,Italy1,Italy2,Italy3,Italy4,Japan1,Japan2,Japan3,Japan4,Netherlands1,Netherlands2,Netherlands3,Netherlands4,SouthKorea1,SouthKorea2,SouthKorea3,SouthKorea4,UnitedStates1,UnitedStates2,UnitedStates3,UnitedStates4
1,1896,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,2,27,20,18,66,5,4,2,11,6,5,2,13,2,3,2,7,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,11,7,2,20
2,1900,0,0,0,7,1,7,23,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,13,8,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2,0,3,5,27,20,18,66,27,39,37,103,4,3,2,9,15,7,9,31,3,2,0,5,8,7,8,23,0,2,3,5,6,5,6,17,19,14,15,48
3,1904,0,2,0,9,1,6,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,7,0,0,3,1,4,27,20,18,66,0,1,0,1,4,5,6,15,1,1,0,2,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,76,78,77,231
4,1908,0,1,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,16,0,0,0,0,0,0,4,0,1,0,0,3,0,0,4,6,6,8,21,27,20,18,66,5,5,9,19,3,5,5,13,56,51,39,146,2,2,0,4,8,7,8,23,0,0,2,2,6,5,6,17,23,12,12,47
5,1912,0,2,0,6,1,3,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,4,15,0,0,0,0,0,0,6,0,1,0,0,0,0,5,4,6,6,8,21,27,20,18,66,7,4,3,14,5,13,7,25,10,15,16,41,3,1,2,6,8,7,8,23,0,0,3,3,6,5,6,17,26,19,19,64
6,1916,0,4,0,9,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,18,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,6,6,8,21,27,20,18,66,8,9,9,27,12,12,14,39,9,11,11,32,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,38,30,26,95
7,1920,0,5,0,10,1,10,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,14,21,0,0,0,0,0,0,5,0,1,0,0,0,5,5,5,0,2,1,3,27,20,18,66,9,19,13,41,12,12,14,39,14,15,13,42,13,5,5,23,0,2,0,2,4,2,5,11,6,5,6,17,41,27,27,95
8,1924,0,5,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,0,0,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,6,3,1,2,6,27,20,18,66,13,15,10,38,12,12,14,39,9,13,12,34,8,3,5,16,0,0,1,1,4,1,5,10,6,5,6,17,45,27,27,99
9,1928,0,4,0,11,1,0,27,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,2,1,4,27,20,18,66,6,10,5,21,10,7,14,31,3,10,7,20,7,5,7,19,2,2,1,5,6,9,4,19,6,5,6,17,22,18,16,56
10,1932,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3,1,1,5,27,20,18,66,11,5,4,20,5,12,7,24,5,7,5,17,12,12,12,36,7,7,4,18,2,5,1,8,6,5,6,17,44,36,30,110
11,1936,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,1,1,27,20,18,66,7,6,6,19,38,31,32,101,4,7,3,14,9,13,5,27,6,4,10,20,6,4,7,17,6,5,6,17,24,21,12,57
12,1948,0,4,0,11,1,0,33,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,2,6,5,13,27,20,18,66,10,6,13,29,12,12,14,39,3,14,6,23,8,11,8,27,8,7,8,23,5,2,9,16,0,0,2,2,38,27,19,84
13,1952,0,4,0,11,1,0,33,0,0,0,0,1,0,10,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,6,2,3,11,27,20,18,66,6,6,6,18,0,7,17,24,1,2,8,11,8,9,4,21,1,6,2,9,0,5,0,5,0,0,2,2,40,19,17,76
14,1956,0,4,0,13,1,0,33,0,0,0,0,1,0,10,0,7,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,13,8,14,35,27,20,18,66,4,4,6,14,12,12,14,39,6,7,11,24,8,8,9,25,4,10,5,19,4,4,5,13,0,1,1,2,32,25,17,74
15,1960,0,4,0,15,1,0,34,0,1,0,0,1,0,10,0,7,0,0,0,0,0,0,2,4,1,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,8,8,6,22,27,20,18,66,0,2,3,5,12,12,14,39,2,6,12,20,13,10,13,36,4,7,7,18,0,1,2,3,6,5,6,17,34,21,16,71
16,1964,0,4,0,18,1,0,36,0,1,0,0,1,0,10,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,4,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,6,2,10,18,27,20,18,66,1,8,6,15,12,12,14,39,4,12,2,18,10,10,7,27,16,5,8,29,2,4,4,10,0,2,1,3,36,26,28,90
17,1968,0,4,0,29,1,0,36,0,1,0,0,2,0,11,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,5,7,5,17,27,20,18,66,7,3,5,15,12,12,14,39,5,5,3,13,3,4,9,16,11,7,7,25,3,3,1,7,0,1,1,2,45,28,34,107
18,1972,0,4,0,29,1,2,38,0,1,0,0,2,0,11,0,11,4,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,1,0,0,6,0,0,0,2,0,0,0,0,7,0,0,6,8,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,8,7,2,17,27,20,18,66,2,4,7,13,12,12,14,39,4,5,9,18,5,3,10,18,13,8,8,29,3,1,1,5,0,1,0,1,33,31,30,94
19,1976,0,4,0,26,1,2,37,0,1,0,0,2,0,11,0,11,0,0,0,0,0,0,2,4,2,2,2,0,0,8,1,0,1,0,14,0,0,2,0,0,6,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,0,1,4,5,27,20,18,66,2,3,4,9,12,12,14,39,3,5,5,13,2,7,4,13,9,6,10,25,0,2,3,5,1,1,4,6,34,35,25,94
20,1980,0,4,0,26,1,2,38,0,0,0,0,2,0,11,0,12,0,0,0,0,0,0,2,4,2,2,2,0,0,8,2,0,1,0,14,0,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,4,0,0,0,2,0,10,10,10,2,2,5,9,27,20,18,66,6,5,3,14,12,12,14,39,5,7,9,21,8,3,4,15,8,7,8,23,0,1,2,3,6,5,6,17,38,30,26,95
21,1984,2,4,0,29,1,2,41,4,0,0,0,2,0,12,0,12,0,0,0,0,0,0,3,5,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,7,11,0,0,0,0,0,0,4,0,0,0,2,0,10,10,10,4,8,12,24,15,8,9,32,5,7,16,28,12,12,14,39,5,11,21,37,14,6,12,32,10,8,14,32,5,2,6,13,6,6,7,19,83,61,30,174
22,1988,2,4,0,31,1,4,42,5,1,0,0,2,0,12,0,12,0,0,0,0,0,0,3,6,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,7,0,0,0,2,0,0,0,0,14,0,0,8,13,0,0,0,0,4,0,4,0,0,0,2,0,10,10,10,3,6,5,14,5,11,12,28,6,4,6,16,12,12,14,39,5,10,9,24,6,4,4,14,4,3,7,14,2,2,5,9,12,10,11,33,36,31,27,94
23,1992,2,4,0,31,1,4,43,5,0,0,0,2,0,12,0,12,4,0,0,0,0,0,3,7,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,13,0,0,0,0,4,8,4,0,0,0,2,0,10,10,10,7,9,11,27,16,22,16,54,8,5,16,29,33,21,28,82,5,3,12,20,6,5,8,19,3,8,11,22,2,6,7,15,12,5,12,29,37,34,37,108
24,1996,1,4,0,32,1,4,44,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,8,2,2,2,0,0,10,2,0,2,0,14,2,0,2,0,0,14,0,0,0,1,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,4,0,0,2,2,0,10,10,10,9,9,23,41,16,22,12,50,15,7,15,37,20,18,27,65,1,8,6,15,13,10,12,35,3,6,5,14,4,5,10,19,7,15,5,27,44,32,25,101
25,2000,2,8,0,32,2,4,46,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,4,2,0,2,2,0,15,8,8,16,25,17,58,28,16,14,58,13,14,11,38,13,17,26,56,11,10,7,28,13,8,13,34,5,8,5,18,12,9,4,25,8,10,10,28,37,24,32,93
26,2004,2,8,0,32,2,4,46,5,0,1,0,2,0,11,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,17,16,17,50,32,17,14,63,11,9,13,33,13,16,20,49,9,9,12,30,10,11,11,32,16,9,12,37,4,9,9,22,9,12,9,30,36,39,26,101
27,2008,2,8,2,32,2,4,47,5,0,1,0,2,0,11,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,14,15,17,46,48,22,30,100,7,16,20,43,16,11,14,41,19,13,19,51,8,9,10,27,9,8,8,25,7,5,4,16,13,11,8,32,36,39,37,112
28,2012,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,8,15,12,35,39,31,22,92,11,11,13,35,11,20,13,44,29,18,18,65,8,9,11,28,7,14,17,38,6,6,8,20,13,9,9,31,48,26,30,104
29,2016,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,2,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,2,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,12,6,8,11,10,29,26,18,26,70,10,18,14,42,17,10,15,42,27,23,17,67,8,12,8,28,12,8,21,41,8,7,4,19,9,3,9,21,46,37,38,121
30,2020,2,8,2,35,2,5,48,0,0,1,2,0,0,13,0,10,4,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,8,0,0,2,0,0,0,0,14,2,0,10,15,4,2,0,2,5,0,0,3,0,2,2,0,14,12,6,17,7,22,46,38,32,19,89,10,12,11,33,10,11,16,37,22,20,22,64,10,10,20,40,27,14,17,58,10,12,14,36,6,4,10,20,39,41,33,113
31,2024,2,8,2,35,2,5,48,0,0,0,2,0,0,13,2,0,6,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,0,0,0,2,0,0,0,0,14,2,0,10,15,4,4,0,2,5,0,0,3,0,2,0,0,10,12,6,18,19,16,53,40,27,24,91,16,26,22,64,12,13,8,33,14,22,29,65,12,13,15,40,20,12,13,45,15,7,12,34,13,9,10,32,40,44,42,126
32,2028,2,8,2,34,2,4,48,0,0,0,2,0,0,13,2,0,5,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,4,0,0,2,0,0,0,0,14,2,0,10,14,4,5,0,2,5,0,0,3,0,2,0,0,10,12,6,16,15,16,53,37,22,20,84,11,15,12,36,14,14,12,40,21,17,21,60,10,12,14,35,17,13,13,51,11,8,10,34,12,8,10,30,40,33,31,104
