Australia Column,SWA-WRG Column,Spearman Correlation
Australia,SWA,0.10000000000000002
Australia,DIV,0.776898596067356
Australia,OWS,0.28867513459481287
Australia,SWM,0.7376066612270645
Australia,WPO,0.776898596067356
Australia,ARC,0.4990226137396671
Australia,ATH,0.6406142177947517
Australia,BDM,-0.1392621247645583
Australia,BSB,-0.5
Australia,SBL,0.5773502691896257
Australia,BK3,0.3726779962499649
Australia,BKB,-0.3726779962499649
Australia,PEL,
Australia,BOX,-0.03923265908909998
Australia,BKG,0.4000000000000001
Australia,CSP,-0.39103592022868044
Australia,CSL,0.731126155013931
Australia,CKT,
Australia,CQT,
Australia,BMF,0.3726779962499649
Australia,BMX,0.28867513459481287
Australia,MTB,0.7745966692414835
Australia,CRD,0.7745966692414835
Australia,CTR,0.9065929936493868
Australia,EDR,
Australia,EVE,
Australia,EJP,
Australia,EVL,
Australia,EDV,
Australia,FEN,0.743727983291817
Australia,HOC,
Australia,AFB,
Australia,FBL,0.7745966692414835
Australia,GLF,0.19364916731037088
Australia,GAR,
Australia,GRY,0.7745966692414835
Australia,GTR,0.776898596067356
Australia,HBLI,
Australia,HBLF,
Australia,JDP,
Australia,JUD,0.670654091321568
Australia,KTE,0.10000000000000002
Australia,LAX,
Australia,LAX.1,
Australia,MPN,0.10000000000000002
Australia,POL,
Australia,RQT,
Australia,RQQ,
Australia,ROC,
Australia,ROW,
Australia,RU7,0.19364916731037088
Australia,RUG,
Australia,SAL,0.8068173859830118
Australia,SHO,0.8572185522368587
Australia,SKB,0.3726779962499649
Australia,CLB,0.39103592022868044
Australia,SQU,
Australia,SRF,0.3726779962499649
Australia,TTE,0.4990226137396671
Australia,TKW,0.23904572186687875
Australia,TEN,-0.03923265908909998
Australia,TRI,0.7454205226928996
Australia,TOW,
Australia,VBV,0.7745966692414835
Australia,VVO,-0.4000000000000001
Australia,PBT,
Australia,WLF,0.5125692857821982
Australia,WRF,0.2324390302644524
Australia,WRG,-0.5455201730696332
China,SWA,0.3006841514016155
China,DIV,0.8385680336335052
China,OWS,0.8101336868462921
China,SWM,0.6993272211687708
China,WPO,0.8385680336335052
China,ARC,0.5001606371417597
China,ATH,0.8545604401410922
China,BDM,-0.13957971269072367
China,BSB,-0.5011402523360257
China,SBL,0.26040011362916526
China,BK3,0.3735278901615837
China,BKB,-0.3735278901615837
China,PEL,
China,BOX,0.19169538058831714
China,BKG,0.25057012616801283
China,CSP,-0.37165555811971723
China,CSL,0.6542799032377671
China,CKT,
China,CQT,
China,BMF,0.3735278901615837
China,BMX,0.8101336868462921
China,MTB,0.7116662121842572
China,CRD,0.7116662121842572
China,CTR,0.6544238713252871
China,EDR,
China,EVE,
China,EJP,
China,EVL,
China,EDV,
China,FEN,0.7000942170412869
China,HOC,
China,AFB,
China,FBL,0.7116662121842572
China,GLF,0.323484641901935
China,GAR,
China,GRY,0.7116662121842572
China,GTR,0.8385680336335052
China,HBLI,
China,HBLF,
China,JDP,
China,JUD,0.6721835211101572
China,KTE,0.25057012616801283
China,LAX,
China,LAX.1,
China,MPN,0.3006841514016155
China,POL,
China,RQT,
China,RQQ,
China,ROC,
China,ROW,
China,RU7,0.323484641901935
China,RUG,
China,SAL,0.5826350998071034
China,SHO,0.49951944369197904
China,SKB,0.3735278901615837
China,CLB,0.37165555811971723
China,SQU,
China,SRF,0.3735278901615837
China,TTE,0.5001606371417597
China,TKW,0.23959086675243008
China,TEN,0.2703396392912165
China,TRI,0.7913578531979246
China,TOW,
China,VBV,0.7116662121842572
China,VVO,-0.25057012616801283
China,PBT,
China,WLF,0.619507832345887
China,WRF,0.6656260244541073
China,WRG,-0.7607154565189798
France,SWA,-0.2004561009344103
France,DIV,0.598977166881075
France,OWS,0.49186688129953443
France,SWM,0.6993272211687708
France,WPO,0.598977166881075
France,ARC,0.4420024235206249
France,ATH,0.6582425011897602
France,BDM,-0.06978985634536183
France,BSB,-0.5011402523360257
France,SBL,0.20253342171157301
France,BK3,0.298822312129267
France,BKB,-0.298822312129267
France,PEL,
France,BOX,0.3661873295853751
France,BKG,0.5011402523360257
France,CSP,-0.337868689199743
France,CSL,0.7851358838853206
France,CKT,
France,CQT,
France,BMF,0.298822312129267
France,BMX,0.49186688129953443
France,MTB,0.7763631405646442
France,CRD,0.7763631405646442
France,CTR,0.6049889745704993
France,EDR,
France,EVE,
France,EJP,
France,EVL,
France,EDV,
France,FEN,0.7051308660847494
France,HOC,
France,AFB,
France,FBL,0.7763631405646442
France,GLF,0.48522696285290257
France,GAR,
France,GRY,0.7763631405646442
France,GTR,0.598977166881075
France,HBLI,
France,HBLF,
France,JDP,
France,JUD,0.6245484684330594
France,KTE,-0.10022805046720515
France,LAX,
France,LAX.1,
France,MPN,-0.2004561009344103
France,POL,
France,RQT,
France,RQQ,
France,ROC,
France,ROW,
France,RU7,0.48522696285290257
France,RUG,
France,SAL,0.46962398131003585
France,SHO,0.5994233324303748
France,SKB,0.298822312129267
France,CLB,0.337868689199743
France,SQU,
France,SRF,0.298822312129267
France,TTE,0.4420024235206249
France,TKW,0.2994885834405375
France,TEN,-0.027033963929121652
France,TRI,0.5800014079338827
France,TOW,
France,VBV,0.7763631405646442
France,VVO,-0.5011402523360257
France,PBT,
France,WLF,0.3324188368685247
France,WRF,0.3470764270367846
France,WRG,-0.5752910639924785
Germany,SWA,-0.4009122018688206
Germany,DIV,-0.23959086675243008
Germany,OWS,-0.5208002272583305
Germany,SWM,-0.32219004118132655
Germany,WPO,-0.23959086675243008
Germany,ARC,-0.3925679419426603
Germany,ATH,-0.4018743691474326
Germany,BDM,0.7589646877558099
Germany,BSB,-0.25057012616801283
Germany,SBL,0.1736000757527769
Germany,BK3,-0.6723502022908507
Germany,BKB,0.6723502022908507
Germany,PEL,
Germany,BOX,-0.3883060273455655
Germany,BKG,-0.4009122018688206
Germany,CSP,0.6622226308314962
Germany,CSL,0.08142149906958882
Germany,CKT,
Germany,CQT,
Germany,BMF,-0.6723502022908507
Germany,BMX,-0.5208002272583305
Germany,MTB,0.0
Germany,CRD,0.0
Germany,CTR,-0.1365344767513189
Germany,EDR,
Germany,EVE,
Germany,EJP,
Germany,EVL,
Germany,EDV,
Germany,FEN,-0.3626387311292997
Germany,HOC,
Germany,AFB,
Germany,FBL,0.0
Germany,GLF,-0.517575427043096
Germany,GAR,
Germany,GRY,0.0
Germany,GTR,-0.23959086675243008
Germany,HBLI,
Germany,HBLF,
Germany,JDP,
Germany,JUD,-0.19054021070839103
Germany,KTE,-0.5011402523360257
Germany,LAX,
Germany,LAX.1,
Germany,MPN,-0.4009122018688206
Germany,POL,
Germany,RQT,
Germany,RQQ,
Germany,ROC,
Germany,ROW,
Germany,RU7,-0.517575427043096
Germany,RUG,
Germany,SAL,0.3817264447012057
Germany,SHO,0.23727173575369007
Germany,SKB,-0.6723502022908507
Germany,CLB,-0.6622226308314962
Germany,SQU,
Germany,SRF,-0.6723502022908507
Germany,TTE,-0.3925679419426603
Germany,TKW,0.8385680336335052
Germany,TEN,0.39813655968342787
Germany,TRI,-0.4866113507241897
Germany,TOW,
Germany,VBV,0.0
Germany,VVO,0.4009122018688206
Germany,PBT,
Germany,WLF,0.15109947130387485
Germany,WRF,-0.5325008195632859
Germany,WRG,0.45642927391138793
GreatBritain,SWA,0.5
GreatBritain,DIV,0.8366600265340756
GreatBritain,OWS,0.8660254037844386
GreatBritain,SWM,0.5880917974648218
GreatBritain,WPO,0.8366600265340756
GreatBritain,ARC,0.3945760201662485
GreatBritain,ATH,0.8019199560883944
GreatBritain,BDM,-0.243708718337977
GreatBritain,BSB,-0.30000000000000004
GreatBritain,SBL,-0.11547005383792516
GreatBritain,BK3,0.3726779962499649
GreatBritain,BKB,-0.3726779962499649
GreatBritain,PEL,
GreatBritain,BOX,0.6179143806533247
GreatBritain,BKG,0.20000000000000004
GreatBritain,CSP,-0.36406792573015073
GreatBritain,CSL,0.3945760201662485
GreatBritain,CKT,
GreatBritain,CQT,
GreatBritain,BMF,0.3726779962499649
GreatBritain,BMX,0.8660254037844386
GreatBritain,MTB,0.5809475019311126
GreatBritain,CRD,0.5809475019311126
GreatBritain,CTR,0.5448952707944501
GreatBritain,EDR,
GreatBritain,EVE,
GreatBritain,EJP,
GreatBritain,EVL,
GreatBritain,EDV,
GreatBritain,FEN,0.6080478782318234
GreatBritain,HOC,
GreatBritain,AFB,
GreatBritain,FBL,0.5809475019311126
GreatBritain,GLF,0.6454972243679028
GreatBritain,GAR,
GreatBritain,GRY,0.5809475019311126
GreatBritain,GTR,0.8366600265340756
GreatBritain,HBLI,
GreatBritain,HBLF,
GreatBritain,JDP,
GreatBritain,JUD,0.48054741976584786
GreatBritain,KTE,0.30000000000000004
GreatBritain,LAX,
GreatBritain,LAX.1,
GreatBritain,MPN,0.5
GreatBritain,POL,
GreatBritain,RQT,
GreatBritain,RQQ,
GreatBritain,ROC,
GreatBritain,ROW,
GreatBritain,RU7,0.6454972243679028
GreatBritain,RUG,
GreatBritain,SAL,0.1954402363561333
GreatBritain,SHO,0.3488680154452332
GreatBritain,SKB,0.3726779962499649
GreatBritain,CLB,0.36406792573015073
GreatBritain,SQU,
GreatBritain,SRF,0.3726779962499649
GreatBritain,TTE,0.3945760201662485
GreatBritain,TKW,0.0
GreatBritain,TEN,0.2255877897623249
GreatBritain,TRI,0.7895572641681371
GreatBritain,TOW,
GreatBritain,VBV,0.5809475019311126
GreatBritain,VVO,-0.20000000000000004
GreatBritain,PBT,
GreatBritain,WLF,0.6331738236133037
GreatBritain,WRF,0.7494972812608873
GreatBritain,WRG,-0.8823195842691458
Italy,SWA,-0.4009122018688206
Italy,DIV,0.2096420084083763
Italy,OWS,0.028933345958796146
Italy,SWM,0.5369834019688775
Italy,WPO,0.2096420084083763
Italy,ARC,0.2995148001488445
Italy,ATH,0.29794134264378624
Italy,BDM,-0.5321476546333839
Italy,BSB,-0.5011402523360257
Italy,SBL,0.31826680554675757
Italy,BK3,0.4855862572100589
Italy,BKB,-0.4855862572100589
Italy,PEL,
Italy,BOX,0.2580514738688885
Italy,BKG,0.5011402523360257
Italy,CSP,-0.5068030337996144
Italy,CSL,0.4652657089690789
Italy,CKT,
Italy,CQT,
Italy,BMF,0.4855862572100589
Italy,BMX,0.028933345958796146
Italy,MTB,0.48522696285290257
Italy,CRD,0.48522696285290257
Italy,CTR,0.4684544978191804
Italy,EDR,
Italy,EVE,
Italy,EJP,
Italy,EVL,
Italy,EDV,
Italy,FEN,0.6018795606937682
Italy,HOC,
Italy,AFB,
Italy,FBL,0.48522696285290257
Italy,GLF,0.3558331060921286
Italy,GAR,
Italy,GRY,0.48522696285290257
Italy,GTR,0.2096420084083763
Italy,HBLI,
Italy,HBLF,
Italy,JDP,
Italy,JUD,0.5107536203711037
Italy,KTE,0.15034207570080774
Italy,LAX,
Italy,LAX.1,
Italy,MPN,-0.4009122018688206
Italy,POL,
Italy,RQT,
Italy,RQQ,
Italy,ROC,
Italy,ROW,
Italy,RU7,0.3558331060921286
Italy,RUG,
Italy,SAL,0.10798840211942001
Italy,SHO,0.39711795773512343
Italy,SKB,0.4855862572100589
Italy,CLB,0.5068030337996144
Italy,SQU,
Italy,SRF,0.4855862572100589
Italy,TTE,0.2995148001488445
Italy,TKW,-0.17969315006432254
Italy,TEN,-0.4890689838086553
Italy,TRI,0.3784754950077031
Italy,TOW,
Italy,VBV,0.48522696285290257
Italy,VVO,-0.5011402523360257
Italy,PBT,
Italy,WLF,-0.13598952417348736
Italy,WRF,0.1022211394697379
Italy,WRG,-0.24960975917029027
Japan,SWA,0.4000000000000001
Japan,DIV,0.7171371656006362
Japan,OWS,0.6350852961085884
Japan,SWM,0.6778007157221674
Japan,WPO,0.7171371656006362
Japan,ARC,0.5222329678670935
Japan,ATH,0.7466151315305739
Japan,BDM,-0.6266795614405123
Japan,BSB,-0.5
Japan,SBL,0.05773502691896258
Japan,BK3,0.6708203932499368
Japan,BKB,-0.6708203932499368
Japan,PEL,
Japan,BOX,0.46098374429692474
Japan,BKG,0.4000000000000001
Japan,CSP,-0.6607158652139772
Japan,CSL,0.4990226137396671
Japan,CKT,
Japan,CQT,
Japan,BMF,0.6708203932499368
Japan,BMX,0.6350852961085884
Japan,MTB,0.5163977794943223
Japan,CRD,0.5163977794943223
Japan,CTR,0.6764217154689726
Japan,EDR,
Japan,EVE,
Japan,EJP,
Japan,EVL,
Japan,EDV,
Japan,FEN,0.7236272269866326
Japan,HOC,
Japan,AFB,
Japan,FBL,0.5163977794943223
Japan,GLF,0.7100469468046933
Japan,GAR,
Japan,GRY,0.5163977794943223
Japan,GTR,0.7171371656006362
Japan,HBLI,
Japan,HBLF,
Japan,JDP,
Japan,JUD,0.6917770548277592
Japan,KTE,0.5
Japan,LAX,
Japan,LAX.1,
Japan,MPN,0.4000000000000001
Japan,POL,
Japan,RQT,
Japan,RQQ,
Japan,ROC,
Japan,ROW,
Japan,RU7,0.7100469468046933
Japan,RUG,
Japan,SAL,0.17539508390935038
Japan,SHO,0.35883567302938274
Japan,SKB,0.6708203932499368
Japan,CLB,0.6607158652139772
Japan,SQU,
Japan,SRF,0.6708203932499368
Japan,TTE,0.5222329678670935
Japan,TKW,-0.23904572186687875
Japan,TEN,-0.08827348295047496
Japan,TRI,0.8385980880295121
Japan,TOW,
Japan,VBV,0.5163977794943223
Japan,VVO,-0.4000000000000001
Japan,PBT,
Japan,WLF,0.33166247903554
Japan,WRF,0.8253957401227495
Japan,WRG,-0.8633449695536802
Netherlands,SWA,0.2004561009344103
Netherlands,DIV,0.8385680336335052
Netherlands,OWS,0.607600265134719
Netherlands,SWM,0.884149415334803
Netherlands,WPO,0.8385680336335052
Netherlands,ARC,0.6804510993672779
Netherlands,ATH,0.8568700629522844
Netherlands,BDM,-0.4710815303311923
Netherlands,BSB,-0.5011402523360257
Netherlands,SBL,0.26040011362916526
Netherlands,BK3,0.6723502022908507
Netherlands,BKB,-0.6723502022908507
Netherlands,PEL,
Netherlands,BOX,0.5259334800756394
Netherlands,BKG,0.5011402523360257
Netherlands,CSP,-0.675737378399486
Netherlands,CSL,0.7269776702641856
Netherlands,CKT,
Netherlands,CQT,
Netherlands,BMF,0.6723502022908507
Netherlands,BMX,0.607600265134719
Netherlands,MTB,0.7763631405646442
Netherlands,CRD,0.7763631405646442
Netherlands,CTR,0.8921821842887907
Netherlands,EDR,
Netherlands,EVE,
Netherlands,EJP,
Netherlands,EVL,
Netherlands,EDV,
Netherlands,FEN,0.9065968278232491
Netherlands,HOC,
Netherlands,AFB,
Netherlands,FBL,0.7763631405646442
Netherlands,GLF,0.7116662121842572
Netherlands,GAR,
Netherlands,GRY,0.7763631405646442
Netherlands,GTR,0.8385680336335052
Netherlands,HBLI,
Netherlands,HBLF,
Netherlands,JDP,
Netherlands,JUD,0.8203814627722391
Netherlands,KTE,0.4009122018688206
Netherlands,LAX,
Netherlands,LAX.1,
Netherlands,MPN,0.2004561009344103
Netherlands,POL,
Netherlands,RQT,
Netherlands,RQQ,
Netherlands,ROC,
Netherlands,ROW,
Netherlands,RU7,0.7116662121842572
Netherlands,RUG,
Netherlands,SAL,0.42441953391120896
Netherlands,SHO,0.6643608601103322
Netherlands,SKB,0.6723502022908507
Netherlands,CLB,0.675737378399486
Netherlands,SQU,
Netherlands,SRF,0.6723502022908507
Netherlands,TTE,0.6804510993672779
Netherlands,TKW,-0.05989771668810752
Netherlands,TEN,-0.22118697760190442
Netherlands,TRI,0.9289853059279987
Netherlands,TOW,
Netherlands,VBV,0.7763631405646442
Netherlands,VVO,-0.5011402523360257
Netherlands,PBT,
Netherlands,WLF,0.42307851965084964
Netherlands,WRF,0.608572365215184
Netherlands,WRG,-0.8558048885838523
SouthKorea,SWA,0.10022805046720515
SouthKorea,DIV,0.14974429172026876
SouthKorea,OWS,0.20253342171157301
SouthKorea,SWM,0.07992311099071665
SouthKorea,WPO,0.14974429172026876
SouthKorea,ARC,0.15121135541495065
SouthKorea,ATH,0.1570543511610656
SouthKorea,BDM,0.27915942538144733
SouthKorea,BSB,0.25057012616801283
SouthKorea,SBL,-0.11573338383518458
SouthKorea,BK3,-0.07470557803231676
SouthKorea,BKB,0.07470557803231676
SouthKorea,PEL,
SouthKorea,BOX,-0.27279727237568213
SouthKorea,BKG,0.4009122018688206
SouthKorea,CSP,0.013514747567989718
SouthKorea,CSL,0.2966068894677878
SouthKorea,CKT,
SouthKorea,CQT,
SouthKorea,BMF,-0.07470557803231676
SouthKorea,BMX,0.20253342171157301
SouthKorea,MTB,0.09704539257058052
SouthKorea,CRD,0.09704539257058052
SouthKorea,CTR,0.047080854052178926
SouthKorea,EDR,
SouthKorea,EVE,
SouthKorea,EJP,
SouthKorea,EVL,
SouthKorea,EDV,
SouthKorea,FEN,0.027701569739043728
SouthKorea,HOC,
SouthKorea,AFB,
SouthKorea,FBL,0.09704539257058052
SouthKorea,GLF,-0.258787713521548
SouthKorea,GAR,
SouthKorea,GRY,0.09704539257058052
SouthKorea,GTR,0.14974429172026876
SouthKorea,HBLI,
SouthKorea,HBLF,
SouthKorea,JDP,
SouthKorea,JUD,-0.010585567261577278
SouthKorea,KTE,-0.5011402523360257
SouthKorea,LAX,
SouthKorea,LAX.1,
SouthKorea,MPN,0.10022805046720515
SouthKorea,POL,
SouthKorea,RQT,
SouthKorea,RQQ,
SouthKorea,ROC,
SouthKorea,ROW,
SouthKorea,RU7,-0.258787713521548
SouthKorea,RUG,
SouthKorea,SAL,0.27373804258178563
SouthKorea,SHO,0.07992311099071665
SouthKorea,SKB,-0.07470557803231676
SouthKorea,CLB,-0.013514747567989718
SouthKorea,SQU,
SouthKorea,SRF,-0.07470557803231676
SouthKorea,TTE,0.15121135541495065
SouthKorea,TKW,0.14974429172026876
SouthKorea,TEN,0.2777125385446133
SouthKorea,TRI,0.07618662561843374
SouthKorea,TOW,
SouthKorea,VBV,0.09704539257058052
SouthKorea,VVO,-0.4009122018688206
SouthKorea,PBT,
SouthKorea,WLF,0.06043978852154996
SouthKorea,WRF,0.08320325305676342
SouthKorea,WRG,-0.03090406542108356
UnitedStates,SWA,0.0
UnitedStates,DIV,0.05976143046671969
UnitedStates,OWS,0.5196152422706632
UnitedStates,SWM,0.16446635013846708
UnitedStates,WPO,0.05976143046671969
UnitedStates,ARC,0.029012942659282975
UnitedStates,ATH,0.29035032892855656
UnitedStates,BDM,-0.6092717958449425
UnitedStates,BSB,-0.4000000000000001
UnitedStates,SBL,-0.40414518843273806
UnitedStates,BK3,0.3726779962499649
UnitedStates,BKB,-0.3726779962499649
UnitedStates,PEL,
UnitedStates,BOX,0.5786817215642247
UnitedStates,BKG,0.30000000000000004
UnitedStates,CSP,-0.3775519229794156
UnitedStates,CSL,0.09864400504156212
UnitedStates,CKT,
UnitedStates,CQT,
UnitedStates,BMF,0.3726779962499649
UnitedStates,BMX,0.5196152422706632
UnitedStates,MTB,0.06454972243679029
UnitedStates,CRD,0.06454972243679029
UnitedStates,CTR,-0.12682907165043236
UnitedStates,EDR,
UnitedStates,EVE,
UnitedStates,EJP,
UnitedStates,EVL,
UnitedStates,EDV,
UnitedStates,FEN,0.24623426473850699
UnitedStates,HOC,
UnitedStates,AFB,
UnitedStates,FBL,0.06454972243679029
UnitedStates,GLF,0.5809475019311126
UnitedStates,GAR,
UnitedStates,GRY,0.06454972243679029
UnitedStates,GTR,0.05976143046671969
UnitedStates,HBLI,
UnitedStates,HBLF,
UnitedStates,JDP,
UnitedStates,JUD,0.23763333944465004
UnitedStates,KTE,0.20000000000000004
UnitedStates,LAX,
UnitedStates,LAX.1,
UnitedStates,MPN,0.0
UnitedStates,POL,
UnitedStates,RQT,
UnitedStates,RQQ,
UnitedStates,ROC,
UnitedStates,ROW,
UnitedStates,RU7,0.5809475019311126
UnitedStates,RUG,
UnitedStates,SAL,-0.49110623494618105
UnitedStates,SHO,-0.353851844237308
UnitedStates,SKB,0.3726779962499649
UnitedStates,CLB,0.3775519229794156
UnitedStates,SQU,
UnitedStates,SRF,0.3726779962499649
UnitedStates,TTE,0.029012942659282975
UnitedStates,TKW,-0.3585685828003181
UnitedStates,TEN,-0.12750614203957494
UnitedStates,TRI,0.2157796249900499
UnitedStates,TOW,
UnitedStates,VBV,0.06454972243679029
UnitedStates,VVO,-0.30000000000000004
UnitedStates,PBT,
UnitedStates,WLF,-0.18090680674665816
UnitedStates,WRF,0.5739820951428315
UnitedStates,WRG,-0.3937232553459092
