Index,year,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,AFB,FBL,GLF,GAR,GRY,GTR,HBLI,HBLF,JDP,JUD,KTE,LAX,LAX.1,MPN,POL,RQT,RQQ,ROC,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SQU,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,PBT,WLF,WRF,WRG,Australia1,Australia2,Australia3,Australia4,China1,China2,China3,China4,France1,France2,France3,France4,Germany1,Germany2,Germany3,Germany4,GreatBritain1,GreatBritain2,GreatBritain3,GreatBritain4,Italy1,Italy2,Italy3,Italy4,Japan1,Japan2,Japan3,Japan4,Netherlands1,Netherlands2,Netherlands3,Netherlands4,SouthKorea1,SouthKorea2,SouthKorea3,SouthKorea4,UnitedStates1,UnitedStates2,UnitedStates3,UnitedStates4
1,1896,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2.0,0.0,0.0,2.0,,,,,5.0,4.0,2.0,11.0,6.0,5.0,2.0,13.0,2.0,3.0,2.0,7.0,,,,,,,,,,,,,,,,,11.0,7.0,2.0,20.0
2,1900,0,0,0,7,1,7,23,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,13,8,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2.0,0.0,3.0,5.0,,,,,27.0,39.0,37.0,103.0,4.0,3.0,2.0,9.0,15.0,7.0,9.0,31.0,3.0,2.0,0.0,5.0,,,,,0.0,2.0,3.0,5.0,,,,,19.0,14.0,15.0,48.0
3,1904,0,2,0,9,1,6,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,7,0,0.0,3.0,1.0,4.0,,,,,0.0,1.0,0.0,1.0,4.0,5.0,6.0,15.0,1.0,1.0,0.0,2.0,2.5,2.0,0.0,4.5,,,,,0.0,1.0,2.5,3.5,,,,,76.0,78.0,77.0,231.0
4,1908,0,1,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,16,0,0,0,0,0,0,4,0,1,0,0,3,0,0,4,0.0,2.75,1.0,3.75,,,,,5.0,5.0,9.0,19.0,3.0,5.0,5.0,13.0,56.0,51.0,39.0,146.0,2.0,2.0,0.0,4.0,,,,,0.0,0.0,2.0,2.0,,,,,23.0,12.0,12.0,47.0
5,1912,0,2,0,6,1,3,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,4,15,0,0,0,0,0,0,6,0,1,0,0,0,0,5,4,0.0,2.5,1.0,3.5,,,,,7.0,4.0,3.0,14.0,5.0,13.0,7.0,25.0,10.0,15.0,16.0,41.0,3.0,1.0,2.0,6.0,,,,,0.0,0.0,3.0,3.0,,,,,26.0,19.0,19.0,64.0
6,1916,0,4,0,9,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,18,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,0.0,2.25,1.0,3.25,,,,,8.0,11.5,8.0,27.5,6.25,11.5,8.75,26.5,12.0,15.0,14.5,41.5,8.0,3.0,3.5,14.5,,,,,2.0,1.0,4.0,7.0,,,,,33.5,23.0,23.0,79.5
7,1920,0,5,0,10,1,10,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,14,21,0,0,0,0,0,0,5,0,1,0,0,0,5,5,5,0.0,2.0,1.0,3.0,,,,,9.0,19.0,13.0,41.0,7.5,10.0,10.5,28.0,14.0,15.0,13.0,42.0,13.0,5.0,5.0,23.0,0.0,2.0,0.0,2.0,4.0,2.0,5.0,11.0,,,,,41.0,27.0,27.0,95.0
8,1924,0,5,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,0,0,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,6,3.0,1.0,2.0,6.0,,,,,13.0,15.0,10.0,38.0,8.75,8.5,12.25,29.5,9.0,13.0,12.0,34.0,8.0,3.0,5.0,16.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,10.0,,,,,45.0,27.0,27.0,99.0
9,1928,0,4,0,11,1,0,27,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1.0,2.0,1.0,4.0,,,,,6.0,10.0,5.0,21.0,10.0,7.0,14.0,31.0,3.0,10.0,7.0,20.0,7.0,5.0,7.0,19.0,2.0,2.0,1.0,5.0,6.0,9.0,4.0,19.0,,,,,22.0,18.0,16.0,56.0
10,1932,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3.0,1.0,1.0,5.0,,,,,11.0,5.0,4.0,20.0,5.0,12.0,7.0,24.0,5.0,7.0,5.0,17.0,12.0,12.0,12.0,36.0,7.0,7.0,4.0,18.0,2.0,5.0,1.0,8.0,,,,,44.0,36.0,30.0,110.0
11,1936,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0.0,0.0,1.0,1.0,,,,,7.0,6.0,6.0,19.0,38.0,31.0,32.0,101.0,4.0,7.0,3.0,14.0,9.0,13.0,5.0,27.0,6.0,4.0,10.0,20.0,6.0,4.0,7.0,17.0,,,,,24.0,21.0,12.0,57.0
12,1948,0,4,0,11,1,0,33,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,2.0,6.0,5.0,13.0,,,,,10.0,6.0,13.0,29.0,19.0,19.0,24.5,62.5,3.0,14.0,6.0,23.0,8.0,11.0,8.0,27.0,3.5,5.0,6.0,14.5,5.0,2.0,9.0,16.0,0.0,0.0,2.0,2.0,38.0,27.0,19.0,84.0
13,1952,0,4,0,11,1,0,33,0,0,0,0,1,0,10,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,6.0,2.0,3.0,11.0,,,,,6.0,6.0,6.0,18.0,0.0,7.0,17.0,24.0,1.0,2.0,8.0,11.0,8.0,9.0,4.0,21.0,1.0,6.0,2.0,9.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,2.0,40.0,19.0,17.0,76.0
14,1956,0,4,0,13,1,0,33,0,0,0,0,1,0,10,0,7,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,13.0,8.0,14.0,35.0,,,,,4.0,4.0,6.0,14.0,3.3,8.4,18.1,29.8,6.0,7.0,11.0,24.0,8.0,8.0,9.0,25.0,4.0,10.0,5.0,19.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,32.0,25.0,17.0,74.0
15,1960,0,4,0,15,1,0,34,0,1,0,0,1,0,10,0,7,0,0,0,0,0,0,2,4,1,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,8.0,8.0,6.0,22.0,,,,,0.0,2.0,3.0,5.0,6.6,9.8,19.2,35.6,2.0,6.0,12.0,20.0,13.0,10.0,13.0,36.0,4.0,7.0,7.0,18.0,0.0,1.0,2.0,3.0,0.0,1.5,1.0,2.5,34.0,21.0,16.0,71.0
16,1964,0,4,0,18,1,0,36,0,1,0,0,1,0,10,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,4,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,6.0,2.0,10.0,18.0,,,,,1.0,8.0,6.0,15.0,9.899999999999999,11.2,20.3,41.4,4.0,12.0,2.0,18.0,10.0,10.0,7.0,27.0,16.0,5.0,8.0,29.0,2.0,4.0,4.0,10.0,0.0,2.0,1.0,3.0,36.0,26.0,28.0,90.0
17,1968,0,4,0,29,1,0,36,0,1,0,0,2,0,11,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,5.0,7.0,5.0,17.0,,,,,7.0,3.0,5.0,15.0,13.2,12.6,21.4,47.2,5.0,5.0,3.0,13.0,3.0,4.0,9.0,16.0,11.0,7.0,7.0,25.0,3.0,3.0,1.0,7.0,0.0,1.0,1.0,2.0,45.0,28.0,34.0,107.0
18,1972,0,4,0,29,1,2,38,0,1,0,0,2,0,11,0,11,4,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,1,0,0,6,0,0,0,2,0,0,0,0,7,0,0,6,8,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,8.0,7.0,2.0,17.0,,,,,2.0,4.0,7.0,13.0,16.5,14.0,22.5,53.0,4.0,5.0,9.0,18.0,5.0,3.0,10.0,18.0,13.0,8.0,8.0,29.0,3.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,33.0,31.0,30.0,94.0
19,1976,0,4,0,26,1,2,37,0,1,0,0,2,0,11,0,11,0,0,0,0,0,0,2,4,2,2,2,0,0,8,1,0,1,0,14,0,0,2,0,0,6,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,0.0,1.0,4.0,5.0,,,,,2.0,3.0,4.0,9.0,19.799999999999997,15.399999999999999,23.6,58.8,3.0,5.0,5.0,13.0,2.0,7.0,4.0,13.0,9.0,6.0,10.0,25.0,0.0,2.0,3.0,5.0,1.0,1.0,4.0,6.0,34.0,35.0,25.0,94.0
20,1980,0,4,0,26,1,2,38,0,0,0,0,2,0,11,0,12,0,0,0,0,0,0,2,4,2,2,2,0,0,8,2,0,1,0,14,0,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,4,0,0,0,2,0,10,10,10,2.0,2.0,5.0,9.0,,,,,6.0,5.0,3.0,14.0,23.099999999999998,16.799999999999997,24.700000000000003,64.6,5.0,7.0,9.0,21.0,8.0,3.0,4.0,15.0,9.5,7.0,12.0,28.5,0.0,1.0,2.0,3.0,3.5,3.5,5.5,12.5,58.5,48.0,27.5,134.0
21,1984,2,4,0,29,1,2,41,4,0,0,0,2,0,12,0,12,0,0,0,0,0,0,3,5,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,7,11,0,0,0,0,0,0,4,0,0,0,2,0,10,10,10,4.0,8.0,12.0,24.0,15.0,8.0,9.0,32.0,5.0,7.0,16.0,28.0,26.4,18.2,25.8,70.4,5.0,11.0,21.0,37.0,14.0,6.0,12.0,32.0,10.0,8.0,14.0,32.0,5.0,2.0,6.0,13.0,6.0,6.0,7.0,19.0,83.0,61.0,30.0,174.0
22,1988,2,4,0,31,1,4,42,5,1,0,0,2,0,12,0,12,0,0,0,0,0,0,3,6,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,7,0,0,0,2,0,0,0,0,14,0,0,8,13,0,0,0,0,4,0,4,0,0,0,2,0,10,10,10,3.0,6.0,5.0,14.0,5.0,11.0,12.0,28.0,6.0,4.0,6.0,16.0,29.7,19.6,26.9,76.19999999999999,5.0,10.0,9.0,24.0,6.0,4.0,4.0,14.0,4.0,3.0,7.0,14.0,2.0,2.0,5.0,9.0,12.0,10.0,11.0,33.0,36.0,31.0,27.0,94.0
23,1992,2,4,0,31,1,4,43,5,0,0,0,2,0,12,0,12,4,0,0,0,0,0,3,7,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,13,0,0,0,0,4,8,4,0,0,0,2,0,10,10,10,7.0,9.0,11.0,27.0,16.0,22.0,16.0,54.0,8.0,5.0,16.0,29.0,33.0,21.0,28.0,82.0,5.0,3.0,12.0,20.0,6.0,5.0,8.0,19.0,3.0,8.0,11.0,22.0,2.0,6.0,7.0,15.0,12.0,5.0,12.0,29.0,37.0,34.0,37.0,108.0
24,1996,1,4,0,32,1,4,44,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,8,2,2,2,0,0,10,2,0,2,0,14,2,0,2,0,0,14,0,0,0,1,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,4,0,0,2,2,0,10,10,10,9.0,9.0,23.0,41.0,16.0,22.0,12.0,50.0,15.0,7.0,15.0,37.0,20.0,18.0,27.0,65.0,1.0,8.0,6.0,15.0,13.0,10.0,12.0,35.0,3.0,6.0,5.0,14.0,4.0,5.0,10.0,19.0,7.0,15.0,5.0,27.0,44.0,32.0,25.0,101.0
25,2000,2,8,0,32,2,4,46,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,4,2,0,2,2,0,15,8,8,16.0,25.0,17.0,58.0,28.0,16.0,14.0,58.0,13.0,14.0,11.0,38.0,13.0,17.0,26.0,56.0,11.0,10.0,7.0,28.0,13.0,8.0,13.0,34.0,5.0,8.0,5.0,18.0,12.0,9.0,4.0,25.0,8.0,10.0,10.0,28.0,37.0,24.0,32.0,93.0
26,2004,2,8,0,32,2,4,46,5,0,1,0,2,0,11,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,17.0,16.0,17.0,50.0,32.0,17.0,14.0,63.0,11.0,9.0,13.0,33.0,13.0,16.0,20.0,49.0,9.0,9.0,12.0,30.0,10.0,11.0,11.0,32.0,16.0,9.0,12.0,37.0,4.0,9.0,9.0,22.0,9.0,12.0,9.0,30.0,36.0,39.0,26.0,101.0
27,2008,2,8,2,32,2,4,47,5,0,1,0,2,0,11,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,14.0,15.0,17.0,46.0,48.0,22.0,30.0,100.0,7.0,16.0,20.0,43.0,16.0,11.0,14.0,41.0,19.0,13.0,19.0,51.0,8.0,9.0,10.0,27.0,9.0,8.0,8.0,25.0,7.0,5.0,4.0,16.0,13.0,11.0,8.0,32.0,36.0,39.0,37.0,112.0
28,2012,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,8.0,15.0,12.0,35.0,39.0,31.0,22.0,92.0,11.0,11.0,13.0,35.0,11.0,20.0,13.0,44.0,29.0,18.0,18.0,65.0,8.0,9.0,11.0,28.0,7.0,14.0,17.0,38.0,6.0,6.0,8.0,20.0,13.0,9.0,9.0,31.0,48.0,26.0,30.0,104.0
29,2016,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,2,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,2,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,12,6,8.0,11.0,10.0,29.0,26.0,18.0,26.0,70.0,10.0,18.0,14.0,42.0,17.0,10.0,15.0,42.0,27.0,23.0,17.0,67.0,8.0,12.0,8.0,28.0,12.0,8.0,21.0,41.0,8.0,7.0,4.0,19.0,9.0,3.0,9.0,21.0,46.0,37.0,38.0,121.0
30,2020,2,8,2,35,2,5,48,0,0,1,2,0,0,13,0,10,4,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,8,0,0,2,0,0,0,0,14,2,0,10,15,4,2,0,2,5,0,0,3,0,2,2,0,14,12,6,17.0,7.0,22.0,46.0,38.0,32.0,19.0,89.0,10.0,12.0,11.0,33.0,10.0,11.0,16.0,37.0,22.0,20.0,22.0,64.0,10.0,10.0,20.0,40.0,27.0,14.0,17.0,58.0,10.0,12.0,14.0,36.0,6.0,4.0,10.0,20.0,39.0,41.0,33.0,113.0
31,2024,2,8,2,35,2,5,48,0,0,0,2,0,0,13,2,0,6,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,0,0,0,2,0,0,0,0,14,2,0,10,15,4,4,0,2,5,0,0,3,0,2,0,0,10,12,6,18.0,19.0,16.0,53.0,40.0,27.0,24.0,91.0,16.0,26.0,22.0,64.0,12.0,13.0,8.0,33.0,14.0,22.0,29.0,65.0,12.0,13.0,15.0,40.0,20.0,12.0,13.0,45.0,15.0,7.0,12.0,34.0,13.0,9.0,10.0,32.0,40.0,44.0,42.0,126.0
